Ego_vx,Ego_vy,Ego_Yawrate,CycleNum
14.5039,NULL,0.0032959,360
14.5,NULL,0.00311279,361
14.4961,NULL,0.00274658,362
14.4961,NULL,0.00256348,363
14.4961,NULL,0.00250244,364
14.4922,NULL,0.00256348,365
14.4883,NULL,0.00262451,366
14.4883,NULL,0.00250244,367
14.4844,NULL,0.00238037,368
14.4844,NULL,0.00213623,369
14.4844,NULL,0.00201416,370
14.4805,NULL,0.00201416,371
14.4766,NULL,0.0022583,372
14.4727,NULL,0.00213623,373
14.4688,NULL,0.00195313,374
14.4648,NULL,0.00189209,375
14.4648,NULL,0.00134277,376
14.4609,NULL,0.000976563,377
14.4609,NULL,0.0010376,378
14.457,NULL,0.000976563,379
14.4531,NULL,0.00115967,380
14.4492,NULL,0.00128174,381
14.4492,NULL,0.0012207,382
14.4453,NULL,0.00146484,383
14.4453,NULL,0.00170898,384
14.4453,NULL,0.00189209,385
14.4414,NULL,0.00219727,386
14.4375,NULL,0.00201416,387
14.4336,NULL,0.00146484,388
14.4336,NULL,0.00109863,389
14.4297,NULL,0.000671387,390
14.4297,NULL,0.000305176,391
14.4297,NULL,0.000793457,392
14.4258,NULL,0.00140381,393
14.4219,NULL,0.00201416,394
14.418,NULL,0.00274658,395
14.418,NULL,0.00305176,396
14.4141,NULL,0.00268555,397
14.418,NULL,0.00201416,398
14.4219,NULL,0.00183105,399
14.4258,NULL,0.00177002,400
14.4258,NULL,0.00195313,401
14.4258,NULL,0.00231934,402
14.418,NULL,0.00213623,403
14.4141,NULL,0.00140381,404
14.4102,NULL,0.000732422,405
14.4063,NULL,0.000732422,406
14.4023,NULL,0.00109863,407
14.3984,NULL,0.00128174,408
14.3984,NULL,0.00183105,409
14.3945,NULL,0.00195313,410
14.3945,NULL,0.00140381,411
14.3945,NULL,0.0012207,412
14.3945,NULL,0.0010376,413
14.3906,NULL,0.000671387,414
14.3906,NULL,0.000427246,415
14.3906,NULL,0.000305176,416
14.3867,NULL,0.000305176,417
14.3867,NULL,0.00012207,418
14.3867,NULL,-6.10352e-05,419
